x	y	elev	om	ffreq	soil	dist.m
180462	331947	9.811	5	2	2	450
180478	331822	9.604	4.5	2	2	550
180347	331700	9.732	5.4	2	2	650
180862	333116	9.518	2.3	2	1	100
180700	332882	9.72	7.5	2	1	170
180201	331160	9.036	4.6	2	3	860
180173	331923	9.528	5.8	2	2	410
180923	332874	9.155	4.4	3	1	290
180467	331694	10.08	4.4	3	2	680
179917	331325	9.97	4.5	3	2	540
179822	331242	10.136	5.2	3	2	480
179991	331069	10.32	4.6	3	3	720
179120	330578	9.041	6.9	3	1	380
179034	330561	7.86	7	3	1	310
179085	330433	8.741	5.4	3	1	430
179236	330046	7.822	6.2	3	1	370
179456	330072	7.78	5	3	1	290
179550	329940	8.121	5.1	3	1	150
179445	329807	8.231	8.1	3	1	70
179337	329870	8.351	8	3	1	220
179245	329714	7.3	8.8	3	1	80
179024	329733	7.536	9.3	3	1	120
178786	329822	7.706	8.4	3	1	120
179135	329890	8.07	7.7	3	1	260
179030	330082	8.226	5.7	3	1	440
179184	330182	8.128	4.7	3	1	540
179085	330292	8.577	9.1	3	1	520
178875	330311	8.429	6.5	3	1	350
179466	330381	9.406	5.7	3	1	460
180627	330190	8.261	5.5	3	3	40
