long	lat	mud	bathy	dist	relief	slope
129.9648	-12.2967	12.58246565	-42	0.479648	1	0.081997
129.9541	-12.2885	4.510398432	-42	0.471659	0	0
129.9391	-12.316	11.68996942	-44	0.501653	0	0
129.9527	-12.322	15.27961312	-44	0.506489	1	0.103718
130.0343	-12.3248	16.82198121	-40	0.464018	1	0.03667
130.0495	-12.3287	14.5842988	-39	0.449423	2	0.103718
130.0628	-12.342	16.67327078	-37	0.431835	1	0
130.0627	-12.3171	27.80028765	-38	0.44803	1	0.03667
130.0495	-12.3963	17.22388908	-32	0.405663	1	0.03667
129.9667	-12.2981	13.09569217	-42	0.479225	1	0.03667
129.6009	-10.394	9.224729804	-97	1.094249	6	0.382841
129.654	-10.4496	24.7897696	-96	1.016468	4	0.132215
129.6684	-10.4498	20.52278889	-88	1.007652	16	0.92833
129.7176	-10.4492	14.27861756	-73	0.973197	5	0.34594
129.6679	-10.4282	7.354640092	-81	1.023795	8	0.579784
129.6196	-10.4246	16.67035573	-101	1.058906	2	0.115961
129.6526	-10.2993	16.89623991	-107	1.128965	18	0.934823
129.6507	-10.2991	16.43778778	-111	1.130567	17	0.770897
129.6826	-10.2987	24.55170506	-106	1.110006	5	0.332058
129.6901	-10.2998	35.60025679	-106	1.105342	2	0.03667
129.6675	-10.3435	17.81442925	-104	1.086822	7	0.115961
129.5544	-10.3	12.56837784	-116	1.193715	17	1.145456
129.7009	-10.3228	27.11633848	-105	1.081504	2	0.081997
129.6767	-10.3574	27.28161356	-91	1.068928	6	0.293358
129.5392	-10.4629	6.612414784	-62	1.092526	14	0.886859
129.5881	-10.4212	15.08781212	-110	1.083966	12	0.498754
129.6012	-10.4123	15.87645624	-93	1.080142	2	0.103718
129.61	-10.3475	40.2422408	-107	1.121439	4	0.207436
129.5513	-10.3089	28.24902415	-120	1.188197	20	1.193717
129.6393	-10.3023	15.20962031	-112	1.135099	10	0.559726
129.5146	-10.3285	41.87520825	-105	1.202128	7	0.373957
129.5038	-10.3446	28.67906751	-98	1.197155	7	0.409976
129.5273	-10.4172	13.0508268	-92	1.131495	4	0.220019
129.5225	-10.4521	1.025096348	-63	1.112343	9	0.498754
129.5221	-10.5195	0.913268823	-57	1.070047	4	0.264429
129.5257	-10.3711	6.047216526	-94	1.165442	15	0.874649
129.5028	-10.3776	13.71028906	-84	1.176842	4	0.256688
129.4912	-10.3934	12.06237332	-94	1.174268	12	0.478108
129.4827	-10.4492	17.30686511	-124	1.144771	20	1.396077
129.5113	-10.6811	1.021283005	-32	0.989798	2	0.115961
129.5278	-10.6414	0.596018642	-36	0.996133	6	0.14668
129.4673	-10.6287	0.639380431	-24	1.053862	4	0.151194
129.4784	-10.5514	16.52118361	-65	1.08735	24	1.466481
129.48	-10.5704	38.24734146	-88	1.075433	11	0.883061
129.4813	-10.6063	0.493149647	-32	1.052856	5	0.259294
129.5157	-10.663	1.497062525	-32	0.996425	2	0.207436
129.5148	-10.639	2.436082452	-110	1.008071	78	3.710079
129.4644	-10.5365	19.34086221	-60	1.10617	3	0.186981
129.481	-10.4668	26.72402336	-105	1.133846	15	0.783867
129.464	-10.3772	14.11022653	-110	1.204829	10	0.510741
129.5078	-10.3235	25.5366155	-101	1.210984	5	0.279268
129.4606	-10.3084	27.98731204	-102	1.255612	7	0.315444
129.7844	-11.0033	20.4143876	-65	0.58869	29	1.391256
129.8105	-11.0407	22.88832411	-69	0.544656	23	1.920524
129.8717	-11.023	19.93436581	-75	0.510961	2	0.081997
129.9083	-11.0103	28.55099741	-76	0.491757	3	0.151194
129.9284	-11.0253	23.36134971	-75	0.468028	3	0.186981
129.9346	-11.0542	24.92038524	-76	0.443713	2	0.197473
129.8724	-11.0544	15.62760489	-77	0.48894	2	0.03667
129.8935	-11.0806	20.56195635	-75	0.455556	2	0.18335
129.9136	-11.1252	3.908927656	-51	0.410122	23	1.643169
129.9175	-11.1515	7.701463803	-38	0.38931	15	0.396641
129.9323	-11.1075	32.32778291	-51	0.409214	12	0.491968
129.8399	-11.6189	2.72419451	-34	0.23508	17	1.105451
129.825	-11.546	15.98418833	-93	0.290043	76	3.312864
129.8509	-11.5609	7.42663604	-167	0.261008	58	3.004409
